contig_id	start	end	element_id	score	strand	upstreamType	downstreamType	int_profile_id	profile_ids	secondary	complex	set
AG-670-O13_c	1074847	1081858	eAG-670-O13_00415	29	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-3,rep_IRVE-Mu_Gam,hel_IRVE-VirE,MCP_IRVE-HK97,xis_IRVE-1,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
B241_526N9_c	1080030	1087231	eB241_526N9_01102	29	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	xis_IRVE-1,rep_IRVE-5,rep_IRVE-3,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
B245a_520F22_c	1220641	1227782	eB245a_520F22_00982	29	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	rep_IRVE-6,xis_IRVE-1,rep_IRVE-3,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-355-N18_17	1865	11061	eAG-355-N18_01633	28	+	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	YR_IRVE-P,xis_IRVE-1,end_IRVE-TraY,hel_IRVE-DnaB,YR_IRVE-3,unk_IRVE-1,terS_IRVE	FALSE	FALSE	Tycheposon
AG-409-A10_c	1073154	1097058	eAG-409-A10_00977	28	+	None	None	YR_IRVE-P	YR_IRVE-P,hel_IRVE-DnaB,pri_IRVE-Prim-Pol,xis_IRVE-1,YR_IRVE-P,rep_IRVE-6,xis_IRVE-1,rep_IRVE-5,pri_IRVE-Prim-Pol,hel_IRVE-VirE,reg_IRVE	FALSE	TRUE	Tycheposon
AG-436-O11_c	1040241	1048773	eAG-436-O11_00791	28	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	terS_IRVE,unk_IRVE-1,YR_IRVE-3,hel_IRVE-DnaB,end_IRVE-TraY,xis_IRVE-1,YR_IRVE-P	FALSE	FALSE	Tycheposon
B243_498M14_c	591311	599978	eB243_498M14_00384	28	-	tRNA-Ser(tga)-full	tRNA-Ser(tga)-partial	YR_IRVE-S	end_IRVE-TraY,pri_IRVE-Prim-Pol,hel_IRVE-VirE,YR_IRVE-3,unk_IRVE-1,terS_IRVE,YR_IRVE-S	FALSE	FALSE	Tycheposon
HOT208_60m_810B23_c	350852	359405	eHOT208_60m_810B23_00975	28	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	terS_IRVE,unk_IRVE-1,YR_IRVE-3,hel_IRVE-DnaB,end_IRVE-TraY,xis_IRVE-1,YR_IRVE-P	FALSE	FALSE	Tycheposon
MIT0604_1	631146	639915	eMIT0604_00728	28	+	tRNA-Ser(tga)-full	tRNA-Ser(tga)-partial	YR_IRVE-S	YR_IRVE-S,terS_IRVE,unk_IRVE-1,YR_IRVE-3,hel_IRVE-VirE,pri_IRVE-Prim-Pol,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-388-A01_c	1072131	1079110	eAG-388-A01_00476	27	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-3,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-388-F11_c	1039696	1048051	eAG-388-F11_01269	27	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	xis_IRVE-1,rep_IRVE-Mu_Gam,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-402-K16_c	991050	1007387	eAG-402-K16_00267	27	-	tRNA-Pro(tgg)-full	tRNA-Pro(tgg)-partial	YR_IRVE-P	lig_IRVE-NAD,xis_IRVE-1,rep_IRVE-1,rep_IRVE-8,hel_IRVE-VirE,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-402-N10_c	1081930	1089778	eAG-402-N10_01516	27	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	xis_IRVE-1,rep_IRVE-Mu_Gam,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-402-N10_c	1095000	1103361	eAG-402-N10_01495	27	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-Mu_Gam,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
B241_529J15_c	906803	914126	eB241_529J15_00998	27	+	tRNA-Met(cat)-full	tRNA-Met(cat)-partial	YR_IRVE-M	YR_IRVE-M,reg_IRVE,MCP_IRVE-HK97,hel_IRVE-VirE,rep_IRVE-Mu_Gam,rep_IRVE-3,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-355-L21_c	624073	630737	eAG-355-L21_00620	26	-	tRNA-Ser(tga)-full	None	YR_IRVE-S	end_IRVE-TraY,pri_IRVE-Prim-Pol,hel_IRVE-VirE,YR_IRVE-3,unk_IRVE-1,terS_IRVE,YR_IRVE-S	FALSE	FALSE	Tycheposon
AG-388-A01_c	1079034	1085939	eAG-388-A01_00484	26	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-3,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,xis_IRVE-1,YR_IRVE-P	FALSE	FALSE	Tycheposon
MIT1013_1	1215543	1224451	eMIT1013_01528	25.2	+	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	YR_IRVE-P,rep_IRVE-6,xis_IRVE-1,rep_IRVE-5,rep_IRVE-5,rep_IRVE-3,rep_IRVE-2,hel_IRVE-VirE	FALSE	FALSE	Tycheposon
AG-355-N23_21	3574	12634	eAG-355-N23_00918	25	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	terS_IRVE,unk_IRVE-1,YR_IRVE-3,hel_IRVE-DnaB,xis_IRVE-1,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-363-A03_c	1144677	1151173	eAG-363-A03_01179	25	+	tRNA-Pro(tgg)-partial	None	YR_IRVE-P	YR_IRVE-P,rep_IRVE-6,xis_IRVE-1,rep_IRVE-5,pri_IRVE-Prim-Pol,hel_IRVE-VirE,reg_IRVE	FALSE	FALSE	Tycheposon
AG-402-B05_c	1697466	1707536	eAG-402-B05_01302	25	-	tRNA-Arg(cct)-full	tRNA-Arg(cct)-partial	YR_IRVE-S	end_IRVE-TraY,hel_PF-Pox_D5,YR_IRVE-3,unk_IRVE-1,terS_IRVE,YR_IRVE-S	FALSE	FALSE	Tycheposon
AG-402-N08_c	1162809	1171962	eAG-402-N08_01200	25	+	tRNA-Arg(tct)-partial	tRNA-Arg(tct)-full	YR_IRVE-R	YR_IRVE-R,xis_IRVE-1,hel_IRVE-DnaB,YR_IRVE-3,unk_IRVE-1,terS_IRVE	FALSE	FALSE	Tycheposon
AG-418-O02_c	604482	630315	eAG-418-O02_00053	25	+	tRNA-Ser(tga)-partial	tRNA-Ser(tga)-partial	YR_IRVE-S	YR_IRVE-S,lig_IRVE-NAD,reg_IRVE,hel_IRVE-VirE,pri_IRVE-Prim-Pol,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-436-M02_c	559867	569698	eAG-436-M02_00696	25	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	terS_IRVE,unk_IRVE-1,YR_IRVE-3,hel_IRVE-DnaB,end_IRVE-TraY,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-449-J16_c	1165269	1173886	eAG-449-J16_00438	25	+	tRNA-Arg(tct)-partial	tRNA-Arg(tct)-full	YR_IRVE-R	YR_IRVE-R,xis_IRVE-1,hel_IRVE-DnaB,YR_IRVE-3,unk_IRVE-1,terS_IRVE	FALSE	FALSE	Tycheposon
AG-459-P07_28	398	7645	eAG-459-P07_01240	25	-	tRNA-Pro(tgg)-partial	None	YR_IRVE-P	MCP_IRVE-HK97,hel_IRVE-DnaB,top_IRVE-Topoiso,rep_IRVE-Mu_Gam,xis_IRVE-1,rep_IRVE-6,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-469-F22_c	1055711	1065436	eAG-469-F22_00689	25	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	terS_IRVE,unk_IRVE-1,YR_IRVE-3,hel_IRVE-DnaB,xis_IRVE-1,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-670-M15_c	1038004	1062060	eAG-670-M15_00227	25	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	lig_IRVE-NAD,xis_IRVE-1,rep_IRVE-8,hel_IRVE-VirE,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
B241_528P14_c	1052654	1076752	eB241_528P14_01117	25	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	xis_IRVE-1,rep_IRVE-8,hel_IRVE-VirE,reg_IRVE,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
B243_495D8_c	910751	917480	eB243_495D8_00569	25	+	tRNA-Met(cat)-full	None	YR_IRVE-M	YR_IRVE-M,reg_IRVE,MCP_IRVE-HK97,hel_IRVE-VirE,rep_IRVE-Mu_Gam,rep_IRVE-3,xis_IRVE-1	FALSE	FALSE	Tycheposon
B245a_518K17_c	1191489	1200034	eB245a_518K17_01016	25	+	tRNA-Arg(tct)-partial	tRNA-Arg(tct)-full	YR_IRVE-R	YR_IRVE-R,xis_IRVE-1,hel_IRVE-DnaB,YR_IRVE-3,unk_IRVE-1,terS_IRVE	FALSE	FALSE	Tycheposon
MIT0801_1	1194546	1204062	eMIT0801_01461	25	+	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	YR_IRVE-P,lig_IRVE-NAD,reg_IRVE,MCP_IRVE-HK97,hel_IRVE-VirE,xis_IRVE-1	FALSE	FALSE	Tycheposon
RS01_1	1048717	1072387	eRS01_00328	25	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	xis_IRVE-1,rep_IRVE-4,hel_IRVE-DnaB,reg_IRVE,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
RS04_1	1048942	1072612	eRS04_01640	25	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	xis_IRVE-1,rep_IRVE-4,hel_IRVE-DnaB,reg_IRVE,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
RS50_1	1048431	1072101	eRS50_01926	25	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	xis_IRVE-1,rep_IRVE-4,hel_IRVE-DnaB,reg_IRVE,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-321-D23_40	103	7813	eAG-321-D23_01259	24	+	None	None	YR_IRVE-P	YR_IRVE-P,lig_IRVE-NAD,reg_IRVE,MCP_IRVE-HK97,hel_IRVE-VirE,pri_IRVE-Prim-Pol,rep_IRVE-Mu_Gam,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-347-B23_c	605730	613911	eAG-347-B23_00962	24	-	None	None	LSR_IRVE	end_IRVE-TraY,rep_IRVE-10,top_IRVE-Topoiso,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,lig_IRVE-NAD,LSR_IRVE	FALSE	FALSE	Tycheposon
AG-363-P06_c	1071751	1085330	eAG-363-P06_01767	24	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	rep_IRVE-6,xis_IRVE-1,rep_IRVE-4,hel_IRVE-DnaB,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-402-I23_c	1043451	1058018	eAG-402-I23_00277	24	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	terS_IRVE,unk_IRVE-1,YR_IRVE-3,xis_IRVE-1,YR_IRVE-P,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-409-L21_c	1612475	1621495	eAG-409-L21_01358	24	+	tRNA-Arg(cct)-partial	tRNA-Arg(cct)-full	YR_IRVE-P	YR_IRVE-P,rep_IRVE-6,xis_IRVE-1,rep_IRVE-2,hel_IRVE-DnaB,reg_IRVE	FALSE	FALSE	Tycheposon
AG-673-P17_c	1255989	1264021	eAG-673-P17_00196	24	-	None	None	LSR_IRVE	end_IRVE-TraY,rep_IRVE-10,top_IRVE-Topoiso,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,lig_IRVE-NAD,LSR_IRVE	FALSE	FALSE	Tycheposon
MIT9302_c	614643	622830	eMIT9302_01312	24	-	None	None	LSR_IRVE	end_IRVE-TraY,rep_IRVE-10,top_IRVE-Topoiso,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,lig_IRVE-NAD,LSR_IRVE	FALSE	FALSE	Tycheposon
AG-355-K03_c	628214	652324	eAG-355-K03_00866	23	+	tRNA-Ser(tga)-full	None	YR_IRVE-S	YR_IRVE-S,lig_IRVE-NAD,reg_IRVE,hel_IRVE-VirE,pri_IRVE-Prim-Pol,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-331-C07_c	1153069	1167261	eAG-331-C07_00298	22	+	tRNA-Pro(tgg)-full	tRNA-Pro(tgg)-partial	YR_IRVE-P	YR_IRVE-P,xis_IRVE-1,hel_IRVE-DnaB,YR_IRVE-3,terS_IRVE	FALSE	FALSE	Tycheposon
AG-335-D02_c	372251	382627	eAG-335-D02_00509	22	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-8,hel_IRVE-VirE,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-363-B18_c	644797	654366	eAG-363-B18_01609	22	+	tRNA-Ser(tga)-full	tRNA-Ser(tga)-partial	YR_IRVE-8	YR_IRVE-8,terS_IRVE,unk_IRVE-1,YR_IRVE-3,hel_IRVE-DnaB	FALSE	TRUE	cryptic
AG-402-G23_c	1047106	1071185	eAG-402-G23_01114	22	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-4,hel_IRVE-DnaB,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-402-I05_c	1156635	1174648	eAG-402-I05_01428	22	+	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	YR_IRVE-P,reg_IRVE,hel_IRVE-DnaB,rep_IRVE-2,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-402-J18_c	463204	483746	eAG-402-J18_01374	22	-	None	None	LSR_IRVE	end_IRVE-TraY,rep_IRVE-5,rep_IRVE-3,rep_IRVE-2,hel_IRVE-VirE,MCP_IRVE-HK97,reg_IRVE,LSR_IRVE	FALSE	FALSE	Tycheposon
AG-436-C13_c	731383	740218	eAG-436-C13_00444	22	-	tRNA-Ser(tga)-partial	tRNA-Ser(tga)-full	YR_IRVE-S	hel_IRVE-DnaB,YR_IRVE-3,unk_IRVE-1,terS_IRVE,YR_IRVE-S	FALSE	FALSE	Tycheposon
AG-449-K21_c	1050829	1076700	eAG-449-K21_00748	22	-	tRNA-Pro(tgg)-partial	None	YR_IRVE-P	xis_IRVE-1,hel_IRVE-DnaB,hel_IRVE-DnaB,reg_IRVE,lig_IRVE-NAD,YR_IRVE-P	FALSE	TRUE	Tycheposon
AG-469-F22_c	1065371	1073595	eAG-469-F22_00676	22	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	terS_IRVE,unk_IRVE-1,YR_IRVE-3,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-673-L20_c	1069258	1077784	eAG-673-L20_00672	22	-	tRNA-Pro(tgg)-full	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,YR_IRVE-3,unk_IRVE-1,terS_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-686-J21_c	1067757	1087047	eAG-686-J21_01675	22	+	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	YR_IRVE-P,xis_IRVE-1,hel_IRVE-DnaB,YR_IRVE-3,terS_IRVE	FALSE	FALSE	Tycheposon
B241_528O2_c	1073050	1087905	eB241_528O2_01032	22	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-7,hel_IRVE-DnaB,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
B241_528P14_c	1076684	1086033	eB241_528P14_01127	22	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-partial	YR_IRVE-P	xis_IRVE-1,rep_IRVE-7,hel_IRVE-DnaB,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
W02_c	679334	693340	eW02_01200	22	-	tRNA-Thr(ggt)-full	None	YR_IRVE-T1	reg_IRVE,YR_IRVE-P,hel_IRVE-D5,pri_IRVE-Toprim,xis_IRVE-1,YR_IRVE-T1	FALSE	TRUE	Tycheposon
AG-355-G23_c	1055322	1077150	eAG-355-G23_00175	21	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	rep_IRVE-6,xis_IRVE-1,rep_IRVE-8,lig_IRVE-NAD,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-355-N18_c	605034	631896	eAG-355-N18_01027	21	+	None	None	LSR_IRVE	LSR_IRVE,lig_IRVE-NAD,reg_IRVE,hel_IRVE-D5,YR_IRVE-P,pri_IRVE-Toprim,end_IRVE-TraY	FALSE	TRUE	Tycheposon
AG-402-B10_c	1215578	1226437	eAG-402-B10_01215	21	+	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	YR_IRVE-P,rep_IRVE-6,xis_IRVE-1,rep_IRVE-Mu_Gam,top_IRVE-Topoiso	FALSE	FALSE	Tycheposon
MIT0604_1	1276330	1288964	eMIT0604_01532	21	+	tRNA-Ala(ggc)-full	tRNA-Pro(tgg)-partial	YR_IRVE-A	YR_IRVE-A,xis_IRVE-1,pri_IRVE-Prim-Pol,hel_IRVE-DnaB,hel_IRVE-D5	FALSE	FALSE	Tycheposon
AG-311-D23_36	1122	7507	eAG-311-D23_01587	20	-	tRNA-Pro(tgg)-partial	None	YR_IRVE-P	reg_IRVE,hel_IRVE-DnaB,xis_IRVE-1,rep_IRVE-6,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-315-D17_c	508188	516773	eAG-315-D17_00674	20	+	None	None	LSR_IRVE	LSR_IRVE,reg_IRVE,MCP_IRVE-HK97,hel_IRVE-VirE,rep_IRVE-2,rep_IRVE-3,end_IRVE-TraY	FALSE	FALSE	Tycheposon
AG-363-G23_c	1395979	1403363	eAG-363-G23_00397	20	-	tRNA-Pro(tgg)-full	None	YR_IRVE-P	terS_IRVE,YR_IRVE-3,hel_IRVE-DnaB,xis_IRVE-1,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-388-I18_c	1257128	1263949	eAG-388-I18_01239	20	-	None	None	LSR_IRVE	end_IRVE-TraY,rep_IRVE-3,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,LSR_IRVE	FALSE	FALSE	Tycheposon
AG-436-C13_c	580152	587498	eAG-436-C13_00652	20	-	tRNA-Pro(tgg)-full	None	YR_IRVE-P	terS_IRVE,YR_IRVE-3,hel_IRVE-DnaB,xis_IRVE-1,YR_IRVE-P	FALSE	FALSE	Tycheposon
B243_496G15_c	1270297	1277479	eB243_496G15_01001	20	-	None	None	LSR_IRVE	end_IRVE-TraY,rep_IRVE-3,rep_IRVE-Mu_Gam,hel_IRVE-VirE,MCP_IRVE-HK97,reg_IRVE,LSR_IRVE	FALSE	FALSE	Tycheposon
B243_498L10_c	1274956	1281777	eB243_498L10_01114	20	-	None	None	LSR_IRVE	end_IRVE-TraY,rep_IRVE-3,rep_IRVE-7,hel_IRVE-DnaB,MCP_IRVE-HK97,reg_IRVE,LSR_IRVE	FALSE	FALSE	Tycheposon
B241_526B17_c	1046996	1054474	eB241_526B17_00672	19.2	-	tRNA-Ala(ggc)-full	tRNA-Pro(tgg)-full	YR_IRVE-A	hel_IRVE-DnaB,pri_IRVE-Prim-Pol,xis_IRVE-1,YR_IRVE-A,YR_IRVE-A	FALSE	FALSE	Tycheposon
AG-335-P02_c	354600	361113	eAG-335-P02_00523	19	+	tRNA-Ala(ggc)-full	tRNA-Ala(ggc)-partial	YR_IRVE-A	YR_IRVE-A,xis_IRVE-1,pri_IRVE-Prim-Pol,hel_IRVE-DnaB	FALSE	FALSE	Tycheposon
AG-355-G23_c	1211629	1218077	eAG-355-G23_00723	19	+	tRNA-Ala(ggc)-full	tRNA-Ala(ggc)-partial	YR_IRVE-A	YR_IRVE-A,xis_IRVE-1,pri_IRVE-Prim-Pol,hel_IRVE-DnaB	FALSE	FALSE	Tycheposon
AG-355-J17_c	1060223	1068078	eAG-355-J17_00149	19	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	xis_IRVE-1,hel_IRVE-DnaB,reg_IRVE,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-363-C02_c	558613	577604	eAG-363-C02_00972	19	-	tRNA-Pro(tgg)-partial	tRNA-Pro(tgg)-full	YR_IRVE-P	hel_IRVE-DnaB,pri_IRVE-Prim-Pol,xis_IRVE-1,YR_IRVE-P	FALSE	FALSE	Tycheposon
AG-363-O16_c	1881311	1900594	eAG-363-O16_00103	19	+	tmRNA-partial	tmRNA-full	YR_IRVE-tm	YR_IRVE-tm,hel_IRVE-DnaB,xis_IRVE-1,rep_IRVE-9	FALSE	FALSE	Tycheposon
AG-402-B05_c	83849	93163	eAG-402-B05_00335	19	+	tmRNA-partial	tmRNA-full	YR_IRVE-tm	YR_IRVE-tm,YR_IRVE-3,unk_IRVE-1,terS_IRVE	FALSE	FALSE	Tycheposon
AG-402-B05_c	1343217	1355540	eAG-402-B05_00159	19	+	tRNA-Ala(ggc)-full	tRNA-Ala(ggc)-partial	YR_IRVE-A	YR_IRVE-A,xis_IRVE-1,pri_IRVE-Prim-Pol,hel_IRVE-VirE	FALSE	FALSE	Tycheposon
AG-418-O02_c	596657	604531	eAG-418-O02_00041	19	+	tRNA-Ser(tga)-full	tRNA-Ser(tga)-partial	YR_IRVE-S	YR_IRVE-S,hel_IRVE-VirE,pri_IRVE-Prim-Pol,xis_IRVE-1	FALSE	FALSE	Tycheposon
AG-432-D09_c	1660317	1671104	eAG-432-D09_00112	19	+	tmRNA-partial	tmRNA-partial	YR_IRVE-tm	YR_IRVE-tm,xis_IRVE-1,top_IRVE-Topoiso,hel_IRVE-VirE	FALSE	FALSE	Tycheposon
AG-442-N07_c	591502	598770	eAG-442-N07_01351	19	+	tRNA-Ser(tga)-full	tRNA-Ser(tga)-partial	YR_IRVE-S	YR_IRVE-S,hel_IRVE-VirE,pri_IRVE-Prim-Pol,xis_IRVE-1	FALSE	FALSE	Tycheposon
